"file" "distance"
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00189.CSV" 9.00582706483975
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00240.CSV" 9.03737111731615
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00100.CSV" 9.04453330211128
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00291.CSV" 9.06012436529433
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00213.CSV" 9.16786218396089
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00136.CSV" 9.2357470246483
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00037.CSV" 9.35758148538927
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00255.CSV" 9.59320295057391
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00215.CSV" 9.67212084163551
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00195.CSV" 9.69920533662424
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00193.CSV" 9.75742781935896
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00194.CSV" 9.80328078210556
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00173.CSV" 10.0552196424743
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00238.CSV" 10.1998085289921
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00092.CSV" 10.2546171222333
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00117.CSV" 10.2626697848562
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00056.CSV" 10.2727795915078
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00028.CSV" 10.2831493514244
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00034.CSV" 10.3430305143367
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00115.CSV" 10.350033076208
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00118.CSV" 10.3551785390692
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00053.CSV" 10.3554452725945
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00001.CSV" 10.3560366470286
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00081.CSV" 10.3790590115145
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00280.CSV" 10.3826616760299
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00008.CSV" 10.3846886168869
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00134.CSV" 10.3932188840657
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00030.CSV" 10.4127432544215
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00007.CSV" 10.4395188560585
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00004.CSV" 10.4695462782539
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00237.CSV" 10.5068640064912
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00012.CSV" 10.5068859144515
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00093.CSV" 10.5404348422824
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00298.CSV" 10.7162119176368
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00137.CSV" 10.7327778203501
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00296.CSV" 10.7418970384565
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00295.CSV" 10.8057495312496
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00027.CSV" 11.7567984572842
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00214.CSV" 11.9493927162262
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00014.CSV" 11.9579243862553
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00138.CSV" 30.0881484472874
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00196.CSV" 33.649635337354
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00063.CSV" 33.9323578474883
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00006.CSV" 34.101196156572
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00042.CSV" 34.2859922768468
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00072.CSV" 35.0090433074327
